# Jordan's Life Snapshot for Today's Reading | 2026-05-19

## Active Flags
| Priority | Item | Spoke |
|----------|------|-------|
| 🔴 | **Dad's birthday May 25 — 6 days — send voice note or text** | Relationships |
| 🔴 | Rehab form — print at FedEx/Staples + mail to Greenville TX | Money |
| 🔴 | Call Anthem PCP — 855-383-7248 — they never called back May 11 | Health |
| 🟠 | Request PTO — summer (Jul 23 + Jul 27 confirmed for Dad visit) | Career |
| 🟠 | Car insurance competing quote — Geico likely $50–80/mo cheaper | Home |
| 🟡 | Tax refund — may be intercepted by Dept of Ed (TOP), don't count on it | Money |
| 🟡 | Check missingmoney.com | Home |
| 🟡 | Enable Gmail write access → Phase 2 of inbox audit | Home |
| 🟡 | Confirm Portland dates with Carina → book rental car immediately | Joy |

## Spoke Status
**Money:** First budgeted month underway. CC payments scheduled. Rehab form downloaded — still needs printing + mailing.
**Body:** Anthem login ✅ resolved. BP monitor ✅ purchased. PCP unresolved — Anthem never called back May 11. Main blocker before June psychiatrist appt.
**Work:** Associate Director since Apr 1. EFX audit May 15 milestone delivered ✅. LinkedIn headline updated May 19 ✅.

*Source: Personal Life HQ/spoke-digest.md — loaded automatically*
